id,questions
632,Will it help CIBIL score if I pay off my written-off amount?
633,Should the Hobbit be considered a canonical Tolkien work?
634,What do Japanese think about Malaysian?
635,Is the Har Ki Dun trek easy?
636,What are the good websites to learn C programming for begineer?
637,Will the Supreme Court's decision of playing the National Anthem before movie screenings affect your patriotism?
638,"If the United States has a female president, will her husband be called the first gentleman? What will Bill Clinton be called if Hillary is elected?"
639,How can I get MOOC/E-learning through online web and video courses related to filmmaking & production developed by Indian professors?
640,Mobile Number Portability finally will start on May 3. Do network providers really agree to this?
641,Why do people hate twilight saga?
642,Do you believe imperialism left a positive or negative legacy in the Indian subcontinent and in Africa?
643,Why is C the best programming language?
644,How can I improve my spoken English ability?
645,How can I have gay sex?
646,I'm transferring to a school with a US curriculum (taking the IBDP) from a Philippine school w/ a percent average grading system. How do I get my GPA?
647,How do I make money with YouTube?
648,How do I find love in life?
649,"Which option is better to reduce weight, swimming or gym?"
650,Is there any way to get rid of gynecomastia?
651,Which payment gateway in Saudi that using to collect and pay money from/to multiple ?
652,Are there any scientific reasons behind Hindu temples?
653,Is (male) circumcision required in Islam?
654,Where can I get super high quality photos for any photo booth services in Sydney?
655,How can I find out whom I sent a friend request to on Instagram?
656,How can I control on my anger?
657,What are genders?
658,How do I get off Quora?
659,How long can raw and cooked sausage last refrigerated?
660,What are the best available smartphones gadgets?
661,How does it feel to be a closeted gay in India?
662,Can we switch roles at Amazon?
663,What happens if dictatorship is continuing in the present days?
664,What makes a great cup of coffee great?
665,Is the US election rigged?
666,Why hasn't Gayle Laakmann McDowell/careercup created a MOOC or a coding bootcamp?
667,What is fermentation? What are some products of fermentation?
668,"What do you think about my short film, ""ColorShift""?"
669,Should there be a war between India and Pakistan for Kashmir?
670,What is the best way to get you food stamp card?
671,"What are some real world example of encapsulation and abstraction and how are they different, yet related?"
672,What are ways to deal with fabricate security and insurance of android application?
673,What is the best accordion for beginners to learn on?
674,Role of junior leaders in Indian army?
675,What's your opinion about the decision on removal of 500 and 1000 rupees currency notes?
676,What are some of the most mind-blowing facts about Bengaluru?
677,"If both the parents have blood group B+, can the child have A+?"
678,Which book is best for Neet chemistry?
679,What is the essence of enlightenment?
680,Why are so many questions posted to Quora that are so easily answered by using Google?
681,How should I answer if an interviewer asks me to sell a pen or any other product as I am pursuing a MBA?
682,What are some great side dishes for a minestrone soup?
683,How much is the maximum gold you can take when flying from India to USA?
684,"If my reservation status is RAC, does it mean the seat has been confirmed?"
685,How does a new website protect its design and user interface from copycats?
686,How can I improve my skills?
687,Is it possible to use SPI between AVR and Raspberry pi?
688,Which are the best movies of 2016?
689,What would be effect of 500 and 1000 Rs notes ban?
690,What are some of the best photos?
691,Why students run away from home?
692,"In C++, what are access modifiers?"
693,"Can you analyze history, or is it unscientific?"
694,What are some interesting theories about life after death?
695,Do I need to get a tetanus shot again?
696,How light bend with gravity?
697,What does it mean to hike up your skirt?
698,How many new cars are sold by Maserati in the US each year?
699,How do you send a private message to someone you're following on Quora?
700,How do you train a white Pitbull with brown spots?
701,What is the difference between a turkey and a chicken?
702,What are some of the most surreal questions asked on Quora?
703,What is the difference between IT and computer science engineering?
704,When will the best time for having sex?
705,How can I consult a good free online astrologer?
706,Why we don't feel sympathy towards everyone?
707,Why do brothers hate sisters?
708,What is the best site for downloading Kannada films in torrent form?
709,What are some of the most gruesome causes of death?
710,What is latency in telecom?
711,Is senior residency at Hindu Rao Hospital teaching experience?
712,What behavioral adaptations do pandas have?
713,Is Textile Engineering Good?
714,What is the fastest production car?
715,How magnets are made?
716,What's the street value of A332?
717,What are the qualifications for being an FBI or CIA agent?
718,What is the best operating system for the PC in 2014?
719,Why are major Indian TV channels absent in northeast?
720,Hypothetical scenario: Our actual credit card system & banking never existed before. How would you implement a digital currency on the Internet today?
721,How does Quora quickly mark questions as needing improvement?
722,How will I contact a good hacker?
723,What are the best horror novel in 2016?
724,What is the most beautiful thing that you have ever seen?
725,What are the most important things for living a good life?
726,What is the meaning and purpose to life?
727,What should I do when my friends betray me?
728,I'm 15 year old my height is 5 feet 7 inches and my weight is 50 kg what should I do to gain weight?
729,Why is Saltwater taffy candy imported in China?
730,Is there a different price over the Internet than in person when trying to book a room in Mexico City from the US?
731,Why did Venuetastic fail?
732,"Which were some of the most amazing responses you have got with Cortana, Siri or Amazon Echo?"
733,What is most important in life - money or values?
734,Who are the best hackers in India?
735,Should the Indian education system be changed?
736,What are the multiple uses of hollow columns?
737,Which are some commonly mispronounced words?
738,Why is it that every teen girl has a crush on her mathematics teacher? Is it the intelligence or their behavior?
739,Is it too late to go to medical school and become a doctor?
740,Where can I buy best quality commercial innerspring sofa bed in Chatswood West?
741,"If you screenshot someone's Instagram video, will they get notified that you screenshotted it?"
742,"What government exams, other than the GATE, can final year computer science students give?"
743,What sentences use all 26 letters without any repeats?
744,What is the effect of hypodensity of white matter in parietal lobe of brain?
745,What is your job and your salary? Are you satisfied with your current job?
746,Psychopaths: Do you find babies cute?
747,What is the opera song with a choir used for horror movies?
748,Would a woman in the Catholic Church be shunned or ostracized for having a sexual relationship with a priest?
749,"If a Canadian gets a tattoo in America, do they have to declare the cost when returning to Canada?"
750,How can I see who blocked me at Facebook?
751,Why has there been a scarcity of high quality fantasy films?
752,Who are some of great coders from Tamil Nadu?
753,What do think of when you hear the word elect?
754,Which is the best programming language to learn in 2017?
755,What is the ultimate way to serve humanity?
756,How can I calculate 72 hours from now?
757,How hard was it for Jimmy Wales to immigrate to the UK?
758,Cochin to London etihad is the change over time of 1hr sufficient in Dubai?
759,What is Quora's algorithm for sorting answers to a single question?
760,What will be the resolution one should have for the year 2016?
761,What are Balaji Viswanathan's views on caste based reservations in India?
762,Jawed habib haircut prices?
763,Does any one have ebook of answers of wren and Martin grammer and composition?
764,What is [math]x[/math] if [math]x+\left(\dfrac{1}{x}\right) =0[/math]?
765,Whenever its about “her” its a very special feeling. Tried hard to forget her but she's alwys spcl. Should I stop talking to her even as a friend ?
766,What are Mutual funds? How do they work?
767,How has the vertebral column anatomy changed through time?
768,Which acoustic bass guitar is the best?
769,Which universities in the US offer more management content in the management information systems curriculum?
770,My maths have become extremely weak and I am in class 12th. How can I improve my maths so that I can clear my JEE exams next year?
771,"What is a ""function"" in the context of functional programming?"
772,What is the main difference between socialism and communism.?
773,How do I change my Facebook password?
774,How is the word 'valiant' used in a sentence?
775,Why I feel dizzy when I am playing some 3D games but others do not make me feel like this? Are there any tricks in developing 3D games to avoid this?
776,How do payroll companies make money?
777,What are the most underrated and overrated movies you've seen?
778,For what use cases do you think deep learning and neural networks overkill and simpler models work better in practice?
779,"Which one to learn, C++ or C#?"
780,Will a Fitbit accurately track my activity if I am riding a bike?
781,What is the best evidence for a historical Jesus?
782,Which free online language classes would allow me to go from 0 to fluent in Portuguese given their provided courses of study?
783,How do the PM and Prez get women?
784,What are some of the best part-time jobs where you can work from home and make some good cash?
785,Does Trump have a chance at winning presidency?
786,What if I shift my job from e-commerce to cloud computing?
787,How can I meet Suresh Raina?
788,What is the name of the song in which picturized on Madhuri Dixit and Ranbir Kapoor and is from which movie?
789,What is the function of nucleoplasm in a plant cell?
790,"Can fossil records be used as evidence for evolution? If so, how?"
791,What is the Hizmet movement?
792,Could CAT exam and MAT exam take place on same day (4th December 2016)?
793,What mythical creatures are in the Bible?
794,"Which one is good: oral, anal, or vaginal sex?"
795,"What are the winter weather conditions like in Cincinnati, OH?"
796,What stocks are the best to invest in right now?
797,How do we improve reading skills of children?
798,What should I do if someone has posted a porn video under my name?
799,Do you lose nutrients & calories when you have diarrhea?
800,What are the safety precautions on handling shotguns proposed by the NRA in Alaska?
801,What is the benefit of going Walking every morning?
802,Are there any martial artists who started later in life and went on to become champions?
803,How do I get my ex back?
804,Which framework should i choose for cross-platform mobile development?
805,What is the best way to prepare to IELTS?
806,How do I know if the girl am dating online truly live me for real?
807,What area of games programming is most mathematically involved and suited to a math major?
808,What are the differences between larceny and robbery?
809,Is graph theory counted as a prerequisite for machine learning?
810,What are the best schools to study Natural language Processing in India?
811,Will Ted Cruz supporters vote for Donald Trump?
812,What is a GDP?
813,"Is there a ""blind trust"" provision for American Presidents, and how is it enforced?"
814,How do I make a girl who is a newly joined junior in my college to fall in love with me?
815,What are the home remedies for piles or anal fissure?
816,How many words are actually needed to learn for the GRE and what is the correct method to prepare for the GRE verbal? ?
817,Is the soul immortal?
818,What are some of your own personal Moon in the 3rd House stories and experiences?
819,What can be done to reduce the pollution of India?
820,Is government liasioning legal in India?
821,"What's the meaning of ""I gotta take a shit!""?"
822,What is the best place to celebrate New Year 2017 in Hyderabad?
823,What is working hard (not in terms of studying)?
824,Can I upgrade Windows 32 bit to 64 bit Windows 8.1?
825,Which were some of the bad experiences you had in life?
826,Why is Timbaland famous?
827,Can you get a list of individual telephone numbers?
828,Do you have to wake up during REM sleep to remember your dreams?
829,What are common required and elective courses in agriculture?
830,How do I learn how to sing?
831,Who is capable of ending Google's monopoly in search?
832,Can an auto immune disease cause insomnia?
833,Does GTA IV work in Windows 7?
834,Which is the best SSC and banking training insititute in Chandigarh?
835,Which is the best PMP Certification course provider in Bangalore?
836,What is difference between net and gross income?
837,How can I wake up early in the morning?
838,Why do you love her?
839,I missed the IIT. What should I do?
840,What is the difference between the iPhone 6s and iPhone 6s Plus?
841,How can one improve a credit score by 100 points?
842,My crush likes me back
843,Who is the most powerful character in Skyrim apart from Alduin?
844,Can a Muslim guy date a non Muslim girl? Is it based on how religious the individual is or are there other factors to it?
845,What are your comments on this picture?
846,When are the roads most slippery during rain?
847,How do you prove the Heisenberg uncertainty principle experimentally?
848,What is the IELTS all about?
849,How do I lose weight without doing any sport?
850,Why do digital cameras have shutter sound?
851,What's it like dating a gangster?
852,What were the main and most important political causes of World War 1?
853,How do I get over the fear of everything?
854,Which city in India has the best weather?
855,What is the difference between HDD and SSD in layman's terms?
856,What does it mean if a dog vomits white foam?
857,Does my life hold any significance to the world/universe?
858,How is the job situation in New Zealand for computer science graduates?
859,How would I develop an e-commerce website?
860,How do you get a micro SIM card out of an iPhone 4?
861,What can I do to improve my question on Quora?
862,"If one of the people catches feelings, in an established friends with benefits arrangement, how can we drop the feelings going forward?"
863,What are some tips for someone trying to teach themselves to sing?
864,"If climate change scientists are right, why do they worry so much about public relations and packaging?"
865,What is the main reason for all the problems in India?
866,What is a good substitute for milk in macaroni and cheese?
867,How can constipation cause dizziness?
868,"Is it possible to make doctor's review app using which patients can share anonymously all treatment given by that doctor, suggested medicines,?"
869,What are some of the pros and cons of a Hillary Clinton presidency?
870,What are the best films that take place in one room?
871,Is it normal if your sperm doesn't shoot out during ejaculation?
872,Which is the best coaching center for SSC and Banking in Chandigarh?
873,"What's the next number in the series 1,1,1,2,2,2,6,6,6?"
874,What are the best things to do on Halloween?
875,"I wish to start investing in Equity and Mutual Funds. Where should I open Demat account for best rates, transaction charges and so on? I am NRI."
876,Why do companies issue bonus shares?
877,How can changing 500 and 1000 rupee notes end the black money in India?
878,"What should I major in (College) that won't leave me unemployed (other than Engineering, Law, Medicine)?"
879,Who are the best custom kiosk manufacturers in India?
880,Are there any telescopes powerful enough to view evidence left behind from NASA's moon landings?
881,Is there any architectural complex/center/forum/hub anywhere in the world? As a third space.
882,How many keywords are there in AutoHotkey Scripting Programming Language in the latest version?
883,What is the hardest thing(s) about raising children in Ukraine?
884,What is the best source to learn stock market online?
885,Why does India sabotage and badmouth all economic projects which its neighbouring counries have in the world?
886,What does a wet vagina feel like for a man?
887,Will Thursday Night Football increase ratings for CBS on Thursday nights rather than the Big Bang Theory?
888,How can I grow taller at 17?
889,Have you ever been fired?
890,How on earth would I dress like a workout guy from the year 1990 in the summer?
891,My girlfriend has stopped talking to me. What should I do?
892,What will the real estate look like now after the 500 and 1000 scraping?
893,What are the best interview questions ever asked?
894,I trust people very quickly and as a result always have been betrayed? What do I do not to trust people and still hold the relation simple?
895,Who are the best headhunters in Mumbai?
896,What is the DHP vaccine for dogs for? Is it necessary?
897,What are the differences between Asia and Africa? What are the similarities?
898,Has wizard magic been scientifically tested?
899,Why is contract law important?
900,When will moto G3 (Moto G 3rd gen 2015) get Android 7.0 (Nougat) update?
901,Prove that SNR of power = (SNR of voltage) sequare?
902,What are the best riddles by the Riddler (Batman)?
903,Why there is so much nudity content in Game of Thrones?
904,How can I get followers and comments on my blog?
905,I have only 2 months for my CA CPT exams how do I prepare?
906,What programming language should I learn if I want to do a 2D MMORPG game?
907,What is your view on the recent demonetization in India?
908,Why was cyrus mistry removed?
909,How do you cancel USAA auto insurance?
910,Why have I been so angry lately?
911,"How do you form a hypothesis, since you haven't done any testing and don't have any test results yet?"
912,What are the consequences of trolling?
913,"I am frightened of Arvind kejriwal, he may kill me, What shall I do?"
914,What disadvantages do Apple computers/laptops have over other brands?
915,What is the first moment you remember in your Life?
916,What can I do after completing BDS?
917,Does all Muslims hate Narendra Modi?
918,I'm 18. What should I do?
919,What are some really good and famous romantic comedy movies?
920,How realistic is it to get a second bachelors degree in Math as an international student holding a first bachelors degree in Accounnting?
921,How is it possible to believe in the Old Testament in which there is just one God and at the same time believe in Trinity?
922,How should I start meditating?
923,Can an infinite amount of dark or vacuum or gravitational energy be created with expansion?
924,Is Bihar really developing under mahagathbandhan sarkar?
925,How can homeopathic medicine not have side-effects?
926,How do you determine what's a good investment brokerage and what's not?
927,What is the scope of supply chain management in India?
928,Are the number of pistons equal to number of number of cylinders?
929,Should you post picture on social media?
930,Can we control our actions in a dream?
931,How did you managed long distance relationship?
932,What are the chances that I could just ask a rich person for a million dollars and actually have them give it to me?
933,What happened to Hong Kong movies and TV drama? Why did they decline so much?
934,Did Trump win the election?
935,What are the best wallpaper apps for iPhones?
936,"How do I deactivate the app ""App Lock""?"
937,In what format should I send book for printing?
938,Why does the caste system still exist in India?
939,How do I get a boyfriend for age 13?
940,What is rank at 550 marks in NEET 2016?
941,Is the dynamic/flexi-pricing harsh on middle class people?
942,Can I overdraft my Wells Fargo account?
943,What are some new marketing techniques for language schools?
944,How much do olympic gold medalists earn?
945,What are the easy ways to earn money online?
946,What is reactance in a capacitor?
947,Is it true that the cost of living in SV and the Bay Area is so high that new grads making 150k+ have a hard time finding affordable housing?
948,What's the best school in the world?
949,Why is Saltwater taffy candy imported in Australia?
950,What is value of 0?
951,Which are the best part-time jobs to do in Bangalore?
952,How do I become an attractive girl?
953,What are some of the best music albums ever?
954,"Realistically speaking, what would happen to the USA if Donald Trump wins Presidency in the 2016 elections?"
955,What are symptoms of autism in kids?
956,What's it like to be a non-smoking mother of smoking children?
957,What is life without dreams?
958,"How comfortably can I live in Washington DC on a $80,000 salary?"
959,How do you find out if a girl has a boyfriend?
960,What are health benefits of red lentils?
961,What are some math related working models for class 10th?
962,How could I gain weight in a healthy way?
963,What kind of animal did this?
964,How does Anil Ambani benefit from Rafel fighter jet deal?
965,Is YouTube Red's offline feature as good as downloading the video itself?
966,How do I know if my spouse is my soulmate?
967,How do I get to be a people person?
968,How does a long distance relationship work?
969,HOw do I speak Fluent English?
970,"Considering your position as Secretary of State gave you insight into the US's drone program, what will you do to reform the targeting process?"
971,What exactly is MIKE2.0 (in layman's terms)?
972,Why don't buffalo and the like evolve to band together against lions and cheetahs instead of run away?
973,Where can I find a hacker for good cause?
974,How can I change my snapdeal account's mobile number?
975,What are some tips on making it through the job interview process at S & T Bank?
976,"What are the main imports and exports of Venezuela, and how does Venezuela's industry compare to Cuba's?"
977,How did Lucifer and Gabrielle relate to each other?
978,What are some good movies to watch?
979,How do I install Cydia without jailbreak on iOS 9.3.5.?
980,What can I do to get a job at Microsoft?
981,Why is 'fahrenheit 451'  perceived as dystopia?
982,What is your review of Love in Thoughts (2004 movie)?
983,Is it physically possible to travel back in time?
984,Why am I only awkward with some people but not others?
985,How do I recover deleted messages in Facebook?
986,How is the compensation system in Uber?
987,Is it feasible for Flipkart to offer an EMI on debit cards? What are the different factors involved?
988,How do I define tasks vs milestones vs deliverables in an agile scrum methodology?
989,Life can be boring. What to do?
990,Where can I buy meldonium in Canada?
991,What would be a cool way to commit suicide?
992,"I accidentally took my blood pressure medicine twice, will I be ok?"
993,Do you have any paranormal experience?
994,Which 2G Band (900/1800Mhz) was sold during 2G spectrum scam?
995,I am a straight A student but have no motivation or will whatsoever to go to school. Can someone help me fight this?
996,Which is the best shares to purchase and sale daily trading?
997,I and my girlfriends private partstouched each other.can she become pregenant?
998,Could we use cherenkov atmosphere radiation (with gamma rays or similar) to image the surface of a planet from here with ground based telescopes?
